sample_id,split,mask_version,prompt_version,prompt_hash,text_hash,scored_text_hash,scored_text,late_llm_source,late_llm_attempts,late_sentence_structural_integrity,late_phrase_continuity,late_repetition_control,late_repair_efficiency,late_filler_control,late_referential_clarity,late_grammatical_stability,late_local_coherence
TEST_0001,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,0ce2919b2ba9ba5b44240ee09ec69bdb21f9ab052ce310d28f38846e6d4dbff1,0ce2919b2ba9ba5b44240ee09ec69bdb21f9ab052ce310d28f38846e6d4dbff1,WHAT GOING ON IN THE PICTUREAN YOU TELL ME THE ACTION GOING ON IN THE PICSIR FINET IIAS TOANLET'S GOING ON IN THE PICTURE TELL ME ALL OF THE ACTION ABOUT THE PICTURE LET'S GOING ON IN THAT PICTURE WOWD THE COW TETLITTLE ROYWHAT OUSE IS GOING ONBANAIT DOESN'T OPEN HAP TO HAVE TO LEAVE IT CLOSED WHAT ELSE GO WHAT ELSE IS GOING ON ANPICTURE CAN YOU SEE WHAT TELL ME WHERE ELSE IS GOING ON IN THAT PICTURE PAN YEANYTHING ELSE THE LITTLE VOICELITTLE BOYS WAS SITTING THERE HOW CAN ANYTHING ELSE ONSPO SIN GINNES WE MER I GETOH HERE A GOO,api,1,3.0,3.0,5.0,5.0,7.0,3.0,3.0,3.0
TEST_0002,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,9e2affa391add34854ea1e9a5bf7a43a0f53af75935e86d33ad9c057ee544734,9e2affa391add34854ea1e9a5bf7a43a0f53af75935e86d33ad9c057ee544734,O YHERE WAMONHAPPENING IN THE PICTURE RUDEUHSHTHAT'S HAPPENING OVER HEREPLAINTAN I SHAYE COOKIE YOAR NO TA'LL GIVE ITWHAT'S THAT MAN TO THISWHICH DO WHAT'S ITING THERE THER RAN MY COOKIE YOUREAND WHAT'S THIS WOL MY DOING THE WENAD TEE CLEANING A AITAND WHAT'S HATENING HERE BUBURHAMEESAT EVERYTHINGHE PROUGT HIM PLAYNIGTOINITDOES EVERYTHING NOW WHO CAN DO ONEIS THAT IS THAT EVERYTHING YOU SEE OH GOOD AND,api,1,3.0,3.0,5.0,3.0,5.0,3.0,1.0,1.0
TEST_0003,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,902e60975fd1b193a1263a3ce9c16af1e4de52204c4b28efaec5de4ab3d57deb,902e60975fd1b193a1263a3ce9c16af1e4de52204c4b28efaec5de4ab3d57deb,HANG I SEE THAT THE SANK IS RUNNING OVERAND THE LIGHTES SENANAW WASHING A PLATE AND I SEE THE LOAH UPON THE LATTER THUPON THE I'S NOT A LATTER ITS E STOOLAN HE'S FALLIN ALL REACHIR FOR COOKIN A COOKI JARAN DE LITTLE GIRL IS TANDIN BY HIM HOLDIN HER HAND UPRICH AND FATHER COOKIEHUT,api,1,5.0,5.0,7.0,7.0,9.0,5.0,3.0,5.0
TEST_0004,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,6aa12f7a58a32ec2af58e6532a1d7e11553893b3e093e0e04baedc9506a91d89,6aa12f7a58a32ec2af58e6532a1d7e11553893b3e093e0e04baedc9506a91d89,I'M GOING TO SHOW YOU A PICTURE AND I WANT YOU TO LOOK AT THE PICTURE I WANT YOU TO TLL ME EVERYTHING THAT YOU SEE HAPPENING IN THE PICTURE JUST TELL ME EVERRYTHING THAT YOU SEE GOING ON NOW THERE'S THE PICTURE LOOK DOWN HERE ASNOT THE SPIRE OF THE OLD KITCHEN SAT ONCH AN RISONS AABU WHAT CANA LADY AMIRE ETENTION IN HER KITCHER KITCHENSINOR SES AND YOUNENO WOMAN EER HEARING THER IYO YOU NO ONE O K A THERE IT ISA U EVTUHEARD THEN AGAN A DAY STARTING TO PLAY AFTER CHRISTMAS YES YOU RETELLING ME ABOUT ABSOLUVETR IAPOCINT MEAMASO JUST TELL MEYOU SEE ANYTHING ELSE HAPPENING IN THIS PICTURE HERE WHAT ELSE DO YOU SEE HAPPENINGBHAT'S GOING ON WHEY OU LOOKSLATEAD SAY THIS IS ESHAED EXANTR BEAON WOE ON GORDY ATORLY BONE A MOTHER OETEMY WIFE O BEATN GILE O NON TO THIS WHAT'S HAPPENING OVER HEREINSTITUTEN THAT'S THAS LIK THIEVE OR SHE WOULD SAY WAS SHE MACHINE ESAY I CARE WHY THAT'S THA SUN'S MI WI SCHOOL MAY VEAR SOMETHING E THAT'SMISTER THERE WHAT'S GOING ON HERE WELL IT'S JUST AS THOUGH THEYGETTING READY TO GO TO SCHOOL OR THEY'RE JUST COMING OUT FROM SCHOOLHANGWAT E ANYON AGAIN MY DARY SIRSAME IS BACK THERE EXCEPT HER DOWN HERE IN A BOTTOM I THINGS AHAS AOT SEVENICAN E,api,1,3.0,3.0,5.0,3.0,7.0,3.0,3.0,3.0
TEST_0005,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,960af2181ba7549a2229e9214b90c4aa6e1d99ea31057425f11d592d6c5dd224,960af2181ba7549a2229e9214b90c4aa6e1d99ea31057425f11d592d6c5dd224,WHAT DO I SEE IN THIS PICTURE THIS REMINDS ME PROBABLY OF WHEN I WAS VERY YOUNG O CMAM IS WASHING THE DISHES I DON'T KNOW WHY SHE'S NOT LOOKING ATE KID WO ARE GETTING INTO THE COOKI JAR AND THE YOUNG BOYS ABOUT OF COURSE TO CHOPPLE OVER CASETHE STOOLS CHIPPING BUT WHY THE WATER IS OVERFLOWING IN THE SINK I HAVE NO IDEASHE SEEMED SO SERENE AND YET SO OUT OF IT OKY NOTPAYING ATTENTION REALYTO WHAT'S GOING ON AND THAT'S WHAT I SEE IN THAT FICTUREOVERELOOKING A BACK YARRT OF COURSE WHICH IS NEAT YOU SHOULD ALWAYS HAVE THE WINDOW IN THE KITCHEN,api,1,7.0,7.0,9.0,7.0,9.0,7.0,5.0,7.0
TEST_0006,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,f038bf934be13b2bd8864a0d72ee576e4a7a60839de4364597fd9f5bf5b6e3fd,f038bf934be13b2bd8864a0d72ee576e4a7a60839de4364597fd9f5bf5b6e3fd,WELL THE KIDS ARE TRYING TO GET THE COOKIES AND THE BOY ISSANASSTOOL OF SOME KIND READY TO O FALL OFF AS HE HANDS HIS SISTER THECOKE AND THE MOTHER MUST BE DAY DREAMING HER IN A FOGOR SOMETHING ONLY BECAUSE LEA WATER IS RUNNING OVER THE SINK AS SHE'S DRYING THE DISH AH IT LOOKS LIKE GUH IT'S PROBABLY A NICE DA ITH MAYBE THE WINDOW MIGHT BE OPEN UMI DON'T LOOKS LIKE A NICE HOUSE LOOKS LIKE THEY HIVE AHSUFFICIENT INCOME OH NOT MEEGUAN,api,1,7.0,5.0,9.0,5.0,3.0,7.0,5.0,5.0
TEST_0007,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,a2054a1e147f9d36b44faf8ece1f93395880d80ad060eb420ee43c2a18811410,a2054a1e147f9d36b44faf8ece1f93395880d80ad060eb420ee43c2a18811410,O Q THIS IS AM A FAMILY SATTING IN A KITCHENAND THE MOTHER IS WASHING DISHES AND THE SINK IS OVERFLOWING WITHWATER AND FALLING ON TO THE FLOOR AND THERE'S TWO CHILDRENUM AFTER THE COOKIE JAR HIGH UP IN THE CABINET AND THE LITTLE BOY IS ON THEOOL WHICH IS FALLING OVER AND ON THAT'SBASICALLY WHAT I SEE THE WINDOW IS OPEN LOOKS LIKE A NICE DAYBUT THERE'S COUPLE DISASTERS GOING ON HERE ALL AT THE SAME TIE,api,1,7.0,5.0,9.0,7.0,7.0,7.0,5.0,7.0
TEST_0008,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,aaacd3a1ec8ce09b3b3cf31d19d80d0013d588da1e51abde52ff92f566e70109,aaacd3a1ec8ce09b3b3cf31d19d80d0013d588da1e51abde52ff92f566e70109,TELL ME WHAT YOU SAE GOING ON IN THIS PICTUREI DON'T SEE NOW MAS E LOURS WUT I SELECTEDFUL PANCIL VER SOMETING ONEERFUL VANLLEND YOU SEE WHAT'S GOING ON IN THAT VICTOROL PSE I SEE A GIRLS AN AN MATEAND THA AUI MY ASHI SISO WEL MARKS OT SORTIME L OTEE LIK THERESOMKAR O FOU OR ERRYSONA GIRL IS THEY EY HOGES A LONG AGOTHEWHATELSE YOU SEE GOING ON SHE WITSON RIGHT HERE IN THIS BUT HAPPENING THERE LIKE SOME OLD GOLS INWAY WI YOU ER WHAT ELSE AS GOING ONO ME WE WATIICAN YOU TELL I LET'S GOING O ON ISSIDE THE PICTURE DO I FEL REESTRALE TOK TEMFLANSE IN UO WHAT ARE YOU TALKING OFE A FO THISS THEY ALL O TE BOUT THE SAME THELIEF I TSANERE REPLIED O LE AHA DAN YOU SEE ANYTHINGI'M SLIDE AND BRING MY GLACIERSREGGER WE CAN TRY AND NOT THE TIMIN YOU HAVE THIS LASTIT IT DOWS HELP HAMA,api,1,3.0,3.0,7.0,5.0,5.0,3.0,3.0,3.0
TEST_0009,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,4a0372dae3a6f2d545c115c7b66d49930179e70076a282a82d88e13205ed5562,4a0372dae3a6f2d545c115c7b66d49930179e70076a282a82d88e13205ed5562,I SEE A LITTLE BOY ALMOST FALLING ANNA STEATRYING TO GET IN THE COOKY JAW WITH HIS SISTER BESIDE HIM LOOKING FOR HERSMOTHER'S WASHING THE DISHES AND SPILLING THE WATER AHATS E PAYER TA NICE WINDOW AFTER SHINK,api,1,5.0,5.0,9.0,7.0,7.0,5.0,5.0,5.0
TEST_0010,external,U0_unmasked_normalized_asr,P4_unmasked_form_integrity,a85cbe64e7db4ddecc6116d0e868bdc575e652ebdda5fca7d7e71bd930ae1efb,61ac176a08a4290fdd06ec206385b3646181d276648e1fb75096fe27e3a47651,61ac176a08a4290fdd06ec206385b3646181d276648e1fb75096fe27e3a47651,I WON'T YOU TELL ME ANYTHING THAT YOU SEE GOING ON IN THAT MIGGER WHAT YOUING NOW THIS THE COOKY JARTE MAD ME THE CURR HELBAN HIM EASI THEIR MOTHER WAS THERE SPILINAWHAT II ANTHIS WOULD INDEED BE GRAAND MANHER I GESSJENTMENCARRIIN DOWN ON EVER HERE WELLEXCLAINED TO FALL PREE RIT BETEMSHE WAS HELP HIM WUO HE HANDWETH TEERCLITLYTO TWO MIS SISTER AGNESROT YTHING OUSWENTA AT TARMOTHE WAS DRYING HIM DITIOUREGANTING WAARACANYTHING ELSETHERE HE MIGHT FALL SURNISH IN ITISLEIS SCAREL ISAID ET I NEWFEVER O CARE,api,1,1.0,1.0,9.0,1.0,9.0,1.0,1.0,1.0
